Domain,IP,App,Service
mony.clipwallet.co.kr,14.32.69.60,클립,앱시작
logs.clipwallet.co.kr,14.32.69.7,클립,앱시작
rawgit.rawgh.netdna-cdn.com,151.139.237.11,클립,앱시작
app.clipwallet.co.kr,175.196.94.7,클립,앱시작
track-nswitch.nasmob.com,183.110.238.171,클립,앱시작
screen.buzzvil.com,52.193.151.120,클립,앱시작
directauto.samsungcard.com,112.106.2.162,클립,카테크
freesam.kt.com,14.32.69.19,클립,카테크
mony.clipwallet.co.kr,14.32.69.60,클립,카테크
logs.clipwallet.co.kr,14.32.69.7,클립,카테크
m.kt.com,14.63.149.226,클립,카테크
17.248.161.165,17.248.161.165,클립,카테크
login.kt.com,175.196.94.13,클립,카테크
app.clipwallet.co.kr,175.196.94.7,클립,카테크
210.219.173.121,210.219.173.121,클립,카테크
freesam.kt.com,14.32.69.19,클립,멤버십 카드
logs.clipwallet.co.kr,14.32.69.7,클립,멤버십 카드
app.clipwallet.co.kr,175.196.94.7,클립,멤버십 카드
119.207.64.26,119.207.64.26,클립,포인트 전환
14.0.115.222,14.0.115.222,클립,포인트 전환
freesam.kt.com,14.32.69.19,클립,포인트 전환
mony.clipwallet.co.kr,14.32.69.60,클립,포인트 전환
logs.clipwallet.co.kr,14.32.69.7,클립,포인트 전환
175.196.94.11,175.196.94.11,클립,포인트 전환
app.clipwallet.co.kr,175.196.94.7,클립,포인트 전환
seimg.pincrux.com.wtxcdn.com,14.0.112.116,클립,포인트 충전
freesam.kt.com,14.32.69.19,클립,설문조사
app.clipwallet.co.kr,175.196.94.7,클립,설문조사
210.219.173.121,210.219.173.121,클립,설문조사
kt.img.gamen.com.wtxcdn.com,14.0.113.205,클립,홈엔카드
img.clipwallet.co.kr,14.32.69.6,클립,홈엔카드
logs.clipwallet.co.kr,14.32.69.7,클립,홈엔카드
leaflet.clipwallet.co.kr,14.32.69.8,클립,홈엔카드
rawgit.rawgh.netdna-cdn.com,151.139.237.11,클립,홈엔카드
app.clipwallet.co.kr,175.196.94.7,클립,홈엔카드
screen.buzzvil.com,52.199.104.101,클립,홈엔카드
ad.buzzvil.com,54.65.243.255,클립,홈엔카드
ocsp.usertrust.com,151.139.128.14,리얼360,통화
17.42.254.14,17.42.254.14,리얼360,통화
17.57.145.9,17.57.145.9,리얼360,통화
relay01.real360.kt.com,175.207.124.90,리얼360,통화
175.207.124.91,175.207.124.91,리얼360,통화
signal01.real360.kt.com,211.252.120.29,리얼360,통화
access.real360.kt.com,211.252.120.48,리얼360,통화
211.251.10.48,211.251.10.48,리얼360,더보기
access.real360.kt.com,211.252.120.48,리얼360,앱시작
14.32.69.67,14.32.69.67,원내비,지도
tile.navi.kt.com,14.32.70.9,원내비,지도
freesam.kt.com,14.32.69.19,원내비,앱실행
auth.navi.kt.com,14.32.69.61,원내비,앱실행
giswalk.navi.kt.com,14.32.69.34,원내비,지하철
14.32.69.67,14.32.69.67,원내비,지하철
14.32.70.7,14.32.70.7,원내비,지하철
125.159.60.119,125.159.60.119,원내비,마이크 실행
125.159.60.120,125.159.60.120,원내비,마이크 실행
220.75.131.122,220.75.131.122,원내비,마이크 실행
220.75.131.160,220.75.131.160,원내비,마이크 실행
220.75.131.180,220.75.131.180,원내비,마이크 실행
125.159.60.119,125.159.60.119,원내비,마이크 길찾기
14.32.69.67,14.32.69.67,원내비,마이크 길찾기
220.75.131.160,220.75.131.160,원내비,마이크 길찾기
220.75.131.180,220.75.131.180,원내비,마이크 길찾기
125.159.60.119,125.159.60.119,원내비,마이크 버스찾기
125.159.60.120,125.159.60.120,원내비,마이크 버스찾기
14.32.69.67,14.32.69.67,원내비,마이크 버스찾기
220.75.131.122,220.75.131.122,원내비,마이크 버스찾기
220.75.131.160,220.75.131.160,원내비,마이크 버스찾기
220.75.131.180,220.75.131.180,원내비,마이크 버스찾기
giswalk.navi.kt.com,14.32.69.34,원내비,길찾기-버스
14.32.69.67,14.32.69.67,원내비,길찾기-버스
tile.navi.kt.com,14.32.70.9,원내비,길찾기-버스
giswalk.navi.kt.com,14.32.69.34,원내비,길찾기-자동차
14.32.69.67,14.32.69.67,원내비,길찾기-자동차
14.32.69.67,14.32.69.67,원내비,교통정보
tile.navi.kt.com,14.32.70.9,원내비,교통정보
giswalk.navi.kt.com,14.32.69.34,원내비,버스검색
14.32.69.67,14.32.69.67,원내비,버스검색
14.32.70.7,14.32.70.7,원내비,버스검색
tile.navi.kt.com,14.32.70.9,원내비,버스검색
14.32.69.67,14.32.69.67,원내비,주변검색
tile.navi.kt.com,14.32.70.9,원내비,주변검색
14.32.69.67,14.32.69.67,원내비,타임머신
tile.navi.kt.com,14.32.70.9,원내비,타임머신
113.29.190.176,113.29.190.176,기가지니,앱시작
125.159.60.95,125.159.60.95,기가지니,앱시작
freesam.kt.com,14.32.69.19,기가지니,앱시작
gsvr.ktipmedia.co.kr,220.75.131.30,기가지니,앱시작
220.75.131.50,220.75.131.50,기가지니,앱시작
freesam.kt.com,14.32.69.19,기가지니,기가지니 연결
220.75.131.50,220.75.131.50,기가지니,기가지니 연결
