log.melon.com,121.53.216.13,멜론,음악
spmd.melon.com.gtmc.hscdn.com,121.53.216.30,멜론,음악
cdnimg.melon.co.kr.gtmc.hscdn.com,121.53.216.33,멜론,음악
banner.melon.com,211.249.216.10,멜론,음악
play.melon.com,211.249.216.11,멜론,음악
211.249.216.17,211.249.216.17,멜론,음악
cdnimg.melon.co.kr.gtmc.hscdn.com,211.249.216.7,멜론,음악
spvd.melon.com.gtmc.hscdn.com,121.53.216.30,멜론,동영상
cdnimg.melon.co.kr.gtmc.hscdn.com,121.53.216.33,멜론,동영상
m2.melon.com,211.249.216.10,멜론,동영상
play.melon.com,211.249.216.11,멜론,동영상
cmt.melon.com,211.249.216.6,멜론,동영상
cdnimg.melon.co.kr.gtmc.hscdn.com,211.249.216.7,멜론,동영상
110.76.141.146,110.76.141.146,멜론,앱시작
log.melon.com,121.53.216.13,멜론,앱시작
banner.melon.com,211.249.216.10,멜론,앱시작
cdnimg.melon.co.kr.gtmc.hscdn.com,211.249.216.7,멜론,앱시작
navi.gl.kakaocdn.net,110.76.142.63,카카오 지도,길찾기
nvpf-resource-8u5xvjoz.kgslb.com,121.53.204.146,카카오 지도,길찾기
navisdk-api.gl.kakao.com,121.53.204.159,카카오 지도,길찾기
125.209.254.200,125.209.254.200,카카오 지도,길찾기
kinsight-event.gl.kakao.com,211.231.99.244,카카오 지도,길찾기
nvpf-connection-93l4depi.kgslb.com,211.249.221.2,카카오 지도,길찾기
navi.gl.kakaocdn.net,27.0.236.25,카카오 지도,길찾기
vectormap-poi.kakao.com,113.29.186.55,카카오 지도,앱시작
app.map.kakao.com,113.29.189.159,카카오 지도,앱시작
hklkakao.cdnga.net,183.110.194.102,카카오 지도,앱시작
hklkakao.cdnga.net,183.110.194.74,카카오 지도,앱시작
map.g.daum.net,203.133.172.18,카카오 지도,앱시작
stat.tiara.g.daum.net,211.231.101.175,카카오 지도,앱시작
kinsight-event.gl.kakao.com,211.231.99.244,카카오 지도,앱시작
app-route.map.kakao.com,211.249.221.10,카카오 지도,앱시작
vmap-config.kakao.com,27.0.236.179,카카오 지도,앱시작
map.g.daum.net,27.0.237.155,카카오 지도,앱시작
110.76.141.146,110.76.141.146,카카오 지도,지하철 노선도
app.map.kakao.com,113.29.189.159,카카오 지도,지하철 노선도
hklkakao.cdnga.net,182.162.61.161,카카오 지도,지하철 노선도
stat.tiara.g.daum.net,211.231.101.175,카카오 지도,지하철 노선도
